ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
1,34.6,378858340,Mad Max: Fury Road,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,7.3,9629,2015,4
2,17.4,716392705,Gravity,/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg,7.3,5879,2013,4
3,41.5,1274219009,Frozen,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg,7.3,5440,2013,4
4,12.5,643034466,Moana,/z4x0Bp48ar3Mda8KiPD1vwSY3D8.jpg,7.3,3471,2016,4
5,45.3,820580447,Wonder Woman,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,7.2,5025,2017,4
6,60.0,62076141,Brooklyn,/5iMZlbhF6SLc5NOsHv82PFSIuoY.jpg,7.2,1235,2015,4
7,54.2,16002420,Suffragette,/vETQNfswR1R7SOIpGuFDv66xfb7.jpg,7.1,440,2015,4
8,41.8,691210692,The Hunger Games,/1ewwtjqAcwZ5abr2X7coGN0UwaI.jpg,6.9,9634,2012,4
9,14.3,132820716,Zero Dark Thirty,/coeTvXKAYZlrcIfsCfYV5Hw1npu.jpg,6.7,1723,2012,4
10,55.6,6676471,The Babadook,/lszpCmmPCKHvzn2OBx7bAgXlfhC.jpg,6.5,1890,2014,4
